new_id;root_bogdan;root_form;mpnl;norm;par_index;extent;Reference
2592;16;бав;из.(бав).ьн.ик.ъ;избавьникъ;2/m;;808
2593;18;бад;из.(бад).а.т.и;избадати;7;;657
2594;23;би;из.(би).в.а.т.и;избивати;7;;679, 730
2595;24;бир;из.(бир).а.т.и;избирати;7;;742
2596;23;би;из.(би).т.и;избити;4h*);;679, 730
2597;24;бор;из.(бор).ьн.ъ;изборьнъ;2/a;;742
2598;18;бод;из.(бод).т.и;избости;4c;;657
2599;16;быв;из.(быв).а.т.и;избывати;7;;808
2600;16;бы;из.(бы).т.и;избыти;0;;808
2601;16;бы;из.(бы).т.ьЁ.е;избытиЕ;2/n;;808
2602;16;бы;из.(бы).т.ък.ов.а.т.и;избытъковати;6;;808
2603;16;бы;из.(бы).т.ък.ъ;избытъкъ;2/m;;808
2604;16;бы;из.(бы).т.ъч.ьств.ов.а.т.и;избытъчьствовати;6;;808
2605;24;бьр;из.(бьр).а.н.ьЁ.е;избьраниЕ;2/n;;742
2606;24;бьр;из.(бьр).а.т.и;избьрати;3°*;;742
2607;69;бэг;из.(бэг).а.т.и;избэгати;7;;
2608;69;бэг;из.(бэг).н.й.т.и;избэгнйти;5;;
2609;69;бэж;из.(бэж).э.т.и;избэжати;2;;
2610;76;ваj;из.(ваЁ).а.т.и;изваАти;3;;
2611;77;вал;из.(вал).и.т.и;извалити;1;;62, 771
2612;75;вед;из.(вед).т.и;извести1;4c;;661, 666
2613;84;вез;из.(вез).т.и;извести2;4c;;661
2901;996;тъщ;из.(тъщ).и.т.и;истъщити;1;;
2902;999;тьЛ;из.(тьЛ).ен.ьЁ.е;истьЛЕниЕ;2/n;;
2903;999;тьл;из.(тьл).и.т.и;истьлити;1;;
2904;999;тьл;из.(тьл).э.н.ьЁ.е;истьлэниЕ;2/n;;
2906;994;тън;из.(тън).и.т.и;истънити;1;;
2907;941;тэк;из.(тэк).а.т.и;истэкати;7;;661, 675
2909;1006;тяЗ;из.(тяЗ).а.т.и;истяЗати;7;;701
2910;866;су;из.(су).н.й.т.и;исунйти;5;;722
2911;914;суш;из.(суш).и.т.и;исушити;1;;727
2912;1021;хаЖ;из.(хаЖ).а.т.и;исхаЖати;7;;657
2913;1025;хват;из.(хват).и.т.и;исхватити;1;;
2914;1021;хоЖ;из.(хоЖ).ен.ьЁ.е;исхоЖениЕ;2/n;;657
2915;1021;ход;из.(ход).ат.аЁ.а.т.и;исходатаАти;3;;657
2917;1021;ход;из.(ход).ат.аЁ.ь;исходатаи;2/m;;657
3229;447;кръм;(кръм).а;кръма2;2/f;;
3230;448;кръм;(кръм).а;кръма1;2/f;;
3233;448;кръм;(кръм).и.т.и;кръмити1;1;;
3234;447;кръм;(кръм).и.т.и;кръмити2;1;;
3237;448;кръм;(кръм).ьн.ик.ъ;кръмьникъ;2/m;;
3238;448;кръм;(кръм).ьч.ьЁ.и;кръмьчии;2/f*;;
3239;450;кръчаг;((кръчаг)).ъ;кръчагъ;2/m;;
3240;450;кръчаж;((кръчаж)).ьн.ъ;кръчажьнъ;2/a;;
3241;449;кръч;(кръч).ьмЛ.а.в.а.т.и;кръчьмЛАвати;7;;
3245;438;кры;(кры).т.и;крыти;4h*%);;679, 710
3247;452;крьст;(крьст).ьЁ.эн.ин.ъ;крьстиАнинъ;2/m++;;
3249;452;крьст;(крьст).ьЁ.эн.ъ;крьстиАнъ;2/a;;
3250;452;крьст;(крьст).ьЁ.эн.ыН.и;крьстиАныНи;2/f*;;
3251;452;крьст;(крьст).ьЁ.эн.ьск.ъ;крьстиАньскъ;2/a;;
3252;452;крьст;(крьст).ьЁ.эн.ьств.о;крьстиАньство;2/n;;
3253;452;крьст;(крьст).и.т.еЛ.ь;крьститеЛь;2/m*;;
3254;452;крьст;(крьст).и.т.и;крьстити;1;;
3255;452;крьст;(крьст).ъ;крьстъ;2/m;;
3256;452;крьст;(крьст).ьн.ъ;крьстьнъ;2/a;;
3257;452;крьщ;(крьщ).а.т.и;крьщати;7;;
3258;452;крьщ;(крьщ).ен.ьЁ.е;крьщениЕ;2/n;;
3259;453;крэп;(крэп).и.т.и;крэпити;1;;
3260;453;крэп;(крэп).ост.ь;крэпость;1/f;;
3261;453;крэп;(крэп).ъ;крэпъ;2/a;;
3262;453;крэп;(крэп).ък.ъ;крэпъкъ;2/a;;
3263;455;ку;(куё).а.т.и;куАти;7;;
3264;460;куР;(куР).ен.ьЁ.е;куРЕниЕ;2/n;;
3265;456;куд;(куд).и.т.и;кудити;1;;
3269;457;кумир;((кумир)).ъ;кумиръ;2/m;;
3270;457;кумир;((кумир)).ьн.иц.а;кумирьница;2/f;;
3271;457;кумир;((кумир)).ьск.ъ;кумирьскъ;2/a;;
3272;458;купЛ;(купЛ).а;купЛА;2/f;;
2616;95;ви;из.(ви).т.и;извити;4h*);;731
