id;root_number;root_form;mphl;norm;par_index;class;extent;reference;;
6045;1074;чин;у.(чин).а.н.ьj.е;учинаниѥ;2/n;n;;688;;
6040;132;уч;(уч).ен.ьj.е;учениѥ;2/n;n;;814;;
6043;132;уч;(уч).ен.ич.ь;ученичь;2/a;a;;814;;
6042;132;уч;(уч).ен.иц.а;ученица;2/f;n;;814;;
6041;132;уч;(уч).ен.ик.ъ;ученикъ;2/m;n;;814;;
6039;1058;цѣс;у.(цѣс).ар҄.и.т.и;уцѣсар҄ити;1;v;;;;
6038;1045;худ;у.(худ).ѣ.т.и;ухудѣти;7;v;;;;
6037;1021;ход;у.(ход).ъ;уходъ;2/m;n;;657;;
6036;1020;ух;(ух).о;ухо;0/n;n;;;;
6035;1006;тѧж;у.(тѧж).ьч.и.т.и;утѧжьчити;1;v;;701;;
6034;1006;тѧж;у.(тѧж).и.т.и;утѧжити;1;v;;701;;
6033;1006;тѧг;у.(тѧг).н.ѫ.т.и;утѧгнѫти;5;v;;701;;
6032;956;тѣщ;у.(тѣщ).а.т.и;утѣщати;7;v;;663;;
6031;957;тѣш;у.(тѣш).ьн.ъ;утѣшьнъ;2/a;a;;663;;
6030;957;тѣш;у.(тѣш).и.т.и;утѣшити;1;v;;663;;
6029;957;тѣш;у.(тѣш).ен.ьj.е;утѣшениѥ;2/n;n;;663;;
6028;957;тѣш;у.(тѣш).а.т.и;утѣшати;7;v;;663;;
6027;957;тѣх;у.(тѣх).а;утѣха;2/f;n;;663;;
6026;992;тък;у.(тък).н.ѫ.т.и;утъкнѫти;5;v;;660;;
6025;988;тужд;у.(тужд).и.т.и;утуждити;1;v;;;;
6024;1019;утр;(утр).ѣ.ш.ьн҄.ь;утрѣшьн҄ь;2/a;a;;655;;
6023;1019;утр;(утр).ѣj.ь;утрѣи;2/a**;a;;655;;
6020;1019;утр;(утр).ьн҄.ев.а.т.и;утрьн҄ѥвати;6;v;;655;;
